Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-22,ADANIGREEN,EQ,1192.6,1252.2,1252.2,1234.95,1252.2,1252.2,1251.22,382028,47800226235000.0,9537,208484,0.5457
2021-03-23,ADANIGREEN,EQ,1252.2,1309.0,1314.8,1282.0,1308.0,1313.65,1312.51,2252589,295653721630000.0,36168,1204480,0.5347
2021-03-24,ADANIGREEN,EQ,1313.65,1297.2,1340.0,1268.0,1293.0,1291.35,1303.06,1159456,151084024315000.0,60320,410608,0.35409999999999997
2021-03-25,ADANIGREEN,EQ,1291.35,1300.0,1300.0,1226.8,1226.8,1226.8,1240.7,436451,54150686620000.01,22875,275100,0.6303
2021-03-26,ADANIGREEN,EQ,1226.8,1215.0,1260.0,1178.2,1212.95,1212.35,1205.46,436902,52666772270000.0,32707,194622,0.4455
2021-03-30,ADANIGREEN,EQ,1212.35,1216.05,1230.0,1151.75,1151.75,1157.65,1184.89,737621,87400238480000.0,43976,517915,0.7021
2021-03-31,ADANIGREEN,EQ,1157.65,1157.65,1157.65,1099.8,1099.8,1104.85,1119.19,779163,87203246505000.0,49423,476062,0.611
2021-04-01,ADANIGREEN,EQ,1104.85,1104.9,1160.05,1104.9,1160.05,1160.05,1147.17,523216,60021999895000.01,24357,267447,0.5112
2021-04-05,ADANIGREEN,EQ,1160.05,1165.0,1210.0,1125.05,1169.0,1164.2,1175.82,822644,96728278070000.0,47039,347398,0.42229999999999995
2021-04-06,ADANIGREEN,EQ,1164.2,1175.9,1209.0,1170.1,1203.0,1194.45,1191.74,574032,68409904040000.0,32112,296805,0.5171
2021-04-07,ADANIGREEN,EQ,1194.45,1215.0,1223.5,1164.0,1195.0,1196.2,1193.82,572004,68286867310000.0,31593,207989,0.3636
2021-04-08,ADANIGREEN,EQ,1196.2,1177.0,1196.15,1160.0,1160.95,1165.5,1172.37,462142,54180142495000.01,27711,287703,0.6225
2021-04-09,ADANIGREEN,EQ,1165.5,1179.8,1185.0,1130.0,1142.0,1142.75,1149.83,526463,60534476295000.01,36990,265995,0.5052000000000001
2021-04-12,ADANIGREEN,EQ,1142.75,1129.95,1129.95,1085.65,1085.65,1085.65,1091.43,313902,34260303320000.0,21632,206687,0.6584000000000001
2021-04-13,ADANIGREEN,EQ,1085.65,1085.4,1138.0,1035.15,1105.0,1116.05,1083.33,888788,96284806630000.0,59121,296536,0.3336
2021-04-15,ADANIGREEN,EQ,1116.05,1115.95,1144.0,1085.4,1119.0,1122.7,1113.8,786223,87569395645000.0,46327,311935,0.3968
2021-04-16,ADANIGREEN,EQ,1122.7,1122.7,1148.0,1099.0,1104.95,1108.6,1125.6,494736,55687516010000.0,30913,147618,0.2984
2021-04-19,ADANIGREEN,EQ,1108.6,1088.0,1108.0,1053.2,1053.2,1056.35,1066.67,563766,60134999904999.99,31999,263842,0.46799999999999997
2021-04-20,ADANIGREEN,EQ,1056.35,1060.0,1086.0,1037.0,1042.0,1043.95,1055.48,477549,50404362270000.0,25726,259309,0.543
2021-04-22,ADANIGREEN,EQ,1043.95,1043.95,1054.0,1008.0,1027.0,1030.45,1031.99,434346,44824056550000.0,29140,201134,0.4631
2021-04-23,ADANIGREEN,EQ,1030.45,1027.0,1064.95,1027.0,1053.5,1052.4,1047.45,363924,38119179925000.0,20585,137133,0.3768
2021-04-26,ADANIGREEN,EQ,1052.4,1060.35,1062.95,1045.0,1051.0,1049.25,1051.47,226465,23812052305000.0,14647,123971,0.5474
2021-04-27,ADANIGREEN,EQ,1049.25,1064.0,1064.0,1044.05,1056.2,1054.6,1053.23,204814,21571587250000.0,14813,115573,0.5643
2021-04-28,ADANIGREEN,EQ,1054.6,1065.0,1065.0,1044.6,1054.0,1054.7,1057.56,273943,28971180925000.0,21037,159865,0.5836
